session,search,position,product
e25f5c568859a653/18,1,2,3119
e25f5c568859a653/18,1,3,3231
e25f5c568859a653/18,1,4,2994
e25f5c568859a653/18,1,5,2992
e25f5c568859a653/18,1,6,3012
e25f5c568859a653/18,1,7,3310
e25f5c568859a653/18,1,8,3082
e25f5c568859a653/18,1,9,3205
e25f5c568859a653/18,1,10,3118
e25f5c568859a653/18,1,11,3104
e25f5c568859a653/18,1,12,3346
e25f5c568859a653/18,1,13,3130
e25f5c568859a653/18,1,14,3082
e25f5c568859a653/18,1,15,3157
58eb825fd6b214fa/3,1,1,3110
58eb825fd6b214fa/3,1,2,3127
58eb825fd6b214fa/3,1,3,3092
58eb825fd6b214fa/3,1,4,3150
58eb825fd6b214fa/3,1,5,3151
58eb825fd6b214fa/3,1,6,3152
58eb825fd6b214fa/3,1,7,3102
58eb825fd6b214fa/3,1,8,3153
58eb825fd6b214fa/3,1,9,3154
58eb825fd6b214fa/3,1,10,3155
58eb825fd6b214fa/3,1,11,3156
58eb825fd6b214fa/3,1,12,2982
58eb825fd6b214fa/3,1,13,3130
58eb825fd6b214fa/3,1,14,3082
58eb825fd6b214fa/3,1,15,3157
5ed6835cdf03ed03/1,1,1,3004
5ed6835cdf03ed03/1,1,2,3231
5ed6835cdf03ed03/1,1,3,3119
5ed6835cdf03ed03/1,1,4,3134
5ed6835cdf03ed03/1,1,5,3072
5ed6835cdf03ed03/1,1,6,3140
5ed6835cdf03ed03/1,1,7,3125
5ed6835cdf03ed03/1,1,8,2977
5ed6835cdf03ed03/1,1,9,3132
5ed6835cdf03ed03/1,1,10,3151
5ed6835cdf03ed03/1,1,11,3474
5ed6835cdf03ed03/1,1,12,3353
03d092d7491f2f75/1,1,1,133
03d092d7491f2f75/1,1,2,1913
03d092d7491f2f75/1,1,3,1587
03d092d7491f2f75/1,1,4,2815
03d092d7491f2f75/1,1,5,665
03d092d7491f2f75/1,1,6,3279
03d092d7491f2f75/1,1,7,1100
03d092d7491f2f75/1,1,8,1739
03d092d7491f2f75/1,1,9,292
03d092d7491f2f75/1,1,10,909
03d092d7491f2f75/1,1,11,750
03d092d7491f2f75/1,1,12,2176
99a5d409cc31cce5/1,1,1,3153
99a5d409cc31cce5/1,1,2,3175
99a5d409cc31cce5/1,1,3,3124
99a5d409cc31cce5/1,1,4,2977
99a5d409cc31cce5/1,1,5,3174
99a5d409cc31cce5/1,1,6,3244
99a5d409cc31cce5/1,1,7,3044
99a5d409cc31cce5/1,1,8,3005
99a5d409cc31cce5/1,1,9,3153
99a5d409cc31cce5/1,1,10,3092
99a5d409cc31cce5/1,1,11,3196
99a5d409cc31cce5/1,1,12,3186
99a5d409cc31cce5/1,1,13,3211
99a5d409cc31cce5/1,1,14,3173
99a5d409cc31cce5/1,1,15,3111
99a5d409cc31cce5/1,1,16,2997
99a5d409cc31cce5/1,1,17,3053
99a5d409cc31cce5/1,1,18,3027
99a5d409cc31cce5/1,1,19,3100
99a5d409cc31cce5/1,1,20,3259
99a5d409cc31cce5/1,1,21,3032
99a5d409cc31cce5/1,1,22,3270
99a5d409cc31cce5/1,1,23,3123
99a5d409cc31cce5/2,1,1,2982
99a5d409cc31cce5/2,1,2,3442
99a5d409cc31cce5/2,1,3,3080
99a5d409cc31cce5/2,1,4,3146
99a5d409cc31cce5/2,1,5,3284
99a5d409cc31cce5/2,1,6,3189
99a5d409cc31cce5/2,1,7,3083
99a5d409cc31cce5/2,1,8,3310
99a5d409cc31cce5/2,1,9,3260
99a5d409cc31cce5/2,1,10,3179
99a5d409cc31cce5/2,1,11,3020
99a5d409cc31cce5/2,1,12,3007
99a5d409cc31cce5/2,1,13,3144
99a5d409cc31cce5/2,1,14,3004
99a5d409cc31cce5/2,1,15,3030
99a5d409cc31cce5/2,1,16,2997
99a5d409cc31cce5/2,1,17,3053
99a5d409cc31cce5/2,1,18,3027
99a5d409cc31cce5/2,1,19,3100
99a5d409cc31cce5/2,1,20,3259
99a5d409cc31cce5/3,1,1,3128
99a5d409cc31cce5/3,1,2,3196
99a5d409cc31cce5/3,1,3,3259
99a5d409cc31cce5/3,1,4,3037
99a5d409cc31cce5/3,1,5,3160
99a5d409cc31cce5/3,1,6,3109
99a5d409cc31cce5/3,1,7,3090
99a5d409cc31cce5/3,1,8,3131
99a5d409cc31cce5/4,1,1,3083
99a5d409cc31cce5/4,1,2,3310
99a5d409cc31cce5/4,1,3,3260
99a5d409cc31cce5/4,1,4,3442
99a5d409cc31cce5/4,1,5,3179
99a5d409cc31cce5/4,1,6,3109
99a5d409cc31cce5/4,1,7,3090
99a5d409cc31cce5/4,1,8,3131
99a5d409cc31cce5/5,1,1,3123
99a5d409cc31cce5/5,1,2,3106
99a5d409cc31cce5/5,1,3,3270
99a5d409cc31cce5/5,1,4,3030
99a5d409cc31cce5/5,1,5,3028
99a5d409cc31cce5/5,1,6,3099
99a5d409cc31cce5/5,1,7,3048
99a5d409cc31cce5/5,1,8,3157
99a5d409cc31cce5/5,1,9,4026
99a5d409cc31cce5/5,1,10,3177
99a5d409cc31cce5/5,1,11,3153
99a5d409cc31cce5/5,1,12,3187
99a5d409cc31cce5/5,1,13,3210
99a5d409cc31cce5/5,1,14,3128
99a5d409cc31cce5/5,1,15,3046
99a5d409cc31cce5/5,1,16,2986
99a5d409cc31cce5/5,1,17,3276
99a5d409cc31cce5/5,1,18,3093
99a5d409cc31cce5/5,1,19,3022
99a5d409cc31cce5/5,1,20,3051
99a5d409cc31cce5/5,1,21,3274
99a5d409cc31cce5/5,1,22,3134
0b6af7bde8cbd6f3/1,1,1,3054
0b6af7bde8cbd6f3/1,1,2,3039
0b6af7bde8cbd6f3/1,1,3,3055
0b6af7bde8cbd6f3/1,1,4,3100
0b6af7bde8cbd6f3/1,1,5,3101
0b6af7bde8cbd6f3/1,1,6,3102
0b6af7bde8cbd6f3/1,1,7,3012
0b6af7bde8cbd6f3/1,1,8,2986
0b6af7bde8cbd6f3/1,1,9,3103
0b6af7bde8cbd6f3/1,1,10,3104
0b6af7bde8cbd6f3/2,1,1,3014
0b6af7bde8cbd6f3/2,1,2,3119
0b6af7bde8cbd6f3/2,1,3,3302
0b6af7bde8cbd6f3/2,1,4,3006
0b6af7bde8cbd6f3/2,1,5,3007
0b6af7bde8cbd6f3/2,1,6,2986
0b6af7bde8cbd6f3/2,1,7,3177
0b6af7bde8cbd6f3/2,1,8,3011
0b6af7bde8cbd6f3/2,1,9,3012
0b6af7bde8cbd6f3/3,1,1,3005
0b6af7bde8cbd6f3/3,1,2,3231
0b6af7bde8cbd6f3/3,1,3,3117
0b6af7bde8cbd6f3/3,1,4,3173
0b6af7bde8cbd6f3/3,1,5,3101
0b6af7bde8cbd6f3/3,1,6,3156
0b6af7bde8cbd6f3/3,1,7,3012
0b6af7bde8cbd6f3/3,1,8,2992
0b6af7bde8cbd6f3/3,1,9,2986
0b6af7bde8cbd6f3/3,1,10,3174
c3a8ecad02e9914c/2,1,1,1437
c3a8ecad02e9914c/2,1,2,154
c3a8ecad02e9914c/2,1,3,392
c3a8ecad02e9914c/2,1,4,301
c3a8ecad02e9914c/2,1,5,587
c3a8ecad02e9914c/2,1,6,344
c3a8ecad02e9914c/2,1,7,913
091c6b34a33340ac/4,1,1,3003
091c6b34a33340ac/4,1,2,3100
091c6b34a33340ac/4,1,3,3124
091c6b34a33340ac/4,1,4,3195
091c6b34a33340ac/4,1,5,3151
091c6b34a33340ac/4,1,6,3152
091c6b34a33340ac/4,1,7,3102
091c6b34a33340ac/4,1,8,3153
091c6b34a33340ac/4,1,9,3154
091c6b34a33340ac/4,1,10,3155
091c6b34a33340ac/4,1,11,3156
091c6b34a33340ac/4,1,12,2982
091c6b34a33340ac/4,1,13,3130
091c6b34a33340ac/4,1,14,3082
091c6b34a33340ac/4,1,15,3157
091c6b34a33340ac/4,1,16,3146
091c6b34a33340ac/4,1,17,3016
091c6b34a33340ac/5,1,1,3001
091c6b34a33340ac/5,1,2,3002
091c6b34a33340ac/5,1,3,3145
091c6b34a33340ac/5,1,4,3034
091c6b34a33340ac/5,1,5,3003
091c6b34a33340ac/5,1,6,3194
091c6b34a33340ac/5,1,7,3015
091c6b34a33340ac/5,1,8,3002
091c6b34a33340ac/5,1,9,3117
091c6b34a33340ac/5,1,10,3193
091c6b34a33340ac/5,1,11,3124
091c6b34a33340ac/5,1,12,3147
091c6b34a33340ac/5,1,13,3001
091c6b34a33340ac/5,1,14,3116
091c6b34a33340ac/5,1,15,3195
091c6b34a33340ac/5,1,16,3146
091c6b34a33340ac/5,1,17,3016
3aedf024dd95d69d/1,1,1,3003
3aedf024dd95d69d/1,1,2,3117
3aedf024dd95d69d/1,1,3,3124
3aedf024dd95d69d/1,1,4,3116
3aedf024dd95d69d/1,1,5,3034
3aedf024dd95d69d/1,1,6,3194
3aedf024dd95d69d/1,1,7,3015
3aedf024dd95d69d/1,1,8,3002
3aedf024dd95d69d/1,1,9,3117
3aedf024dd95d69d/1,1,10,3193
3aedf024dd95d69d/1,1,11,3124
3aedf024dd95d69d/1,1,12,3147
3aedf024dd95d69d/1,1,13,3001
3aedf024dd95d69d/1,1,14,3116
3aedf024dd95d69d/1,1,15,3195
3aedf024dd95d69d/1,1,16,3146
3aedf024dd95d69d/1,1,17,3016
239779dc25e20bb1/1,1,1,3014
239779dc25e20bb1/1,1,2,3014
239779dc25e20bb1/1,1,3,3014
239779dc25e20bb1/1,1,4,3014
239779dc25e20bb1/1,1,5,3014
239779dc25e20bb1/1,1,6,3015
239779dc25e20bb1/1,1,7,3015
239779dc25e20bb1/1,1,8,3016
4e97ee247d18e7ed/4,1,1,3003
4e97ee247d18e7ed/4,1,2,3004
4e97ee247d18e7ed/4,1,3,3005
4e97ee247d18e7ed/4,1,4,3006
4e97ee247d18e7ed/4,1,5,3007
4e97ee247d18e7ed/4,1,6,2986
4e97ee247d18e7ed/4,1,7,3009
4e97ee247d18e7ed/4,1,8,3010
4e97ee247d18e7ed/4,1,9,3011
4e97ee247d18e7ed/4,1,10,3012
4e97ee247d18e7ed/4,1,11,3013
5e0f0a080ca6f091/4,1,1,3098
5e0f0a080ca6f091/4,1,2,4026
5e0f0a080ca6f091/4,1,3,3211
5e0f0a080ca6f091/4,1,4,3017
5e0f0a080ca6f091/4,1,5,3150
5e0f0a080ca6f091/4,1,6,3029
5e0f0a080ca6f091/4,1,7,3168
5e0f0a080ca6f091/4,1,8,3160
5e0f0a080ca6f091/4,1,9,3022
5e0f0a080ca6f091/4,1,10,3043
5e0f0a080ca6f091/4,1,11,3066
5e0f0a080ca6f091/4,1,12,3225
5e0f0a080ca6f091/4,1,13,3278
5e0f0a080ca6f091/4,1,14,3233
5e0f0a080ca6f091/4,1,15,3203
5e0f0a080ca6f091/4,1,16,3234
5e0f0a080ca6f091/4,1,17,3253
5e0f0a080ca6f091/4,1,18,3071
5e0f0a080ca6f091/4,1,19,3142
5e0f0a080ca6f091/4,1,20,3242
5e0f0a080ca6f091/4,1,21,2978
5e0f0a080ca6f091/4,1,22,3041
5e0f0a080ca6f091/4,1,23,3159
5e0f0a080ca6f091/4,1,24,3256
5e0f0a080ca6f091/6,1,1,3126
5e0f0a080ca6f091/6,1,2,3099
5e0f0a080ca6f091/6,1,3,3093
5e0f0a080ca6f091/6,1,4,3019
5e0f0a080ca6f091/6,1,5,3228
5e0f0a080ca6f091/6,1,6,4274
5e0f0a080ca6f091/6,1,7,3173
5e0f0a080ca6f091/6,1,8,3273
5e0f0a080ca6f091/6,1,9,3021
5e0f0a080ca6f091/6,1,10,3104
5e0f0a080ca6f091/6,1,11,2988
5e0f0a080ca6f091/6,1,12,3025
5e0f0a080ca6f091/6,1,13,3026
5e0f0a080ca6f091/6,1,14,3053
5e0f0a080ca6f091/6,1,15,3216
5e0f0a080ca6f091/6,1,16,3275
5e0f0a080ca6f091/6,1,17,3044
5e0f0a080ca6f091/6,1,18,3264
5e0f0a080ca6f091/6,1,19,3265
5e0f0a080ca6f091/6,1,20,3205
5e0f0a080ca6f091/6,1,21,3143
5e0f0a080ca6f091/6,1,22,3085
5e0f0a080ca6f091/6,1,23,3086
5e0f0a080ca6f091/6,1,24,3087
5e0f0a080ca6f091/6,1,25,3000
5e0f0a080ca6f091/7,1,1,3126
5e0f0a080ca6f091/7,1,2,3099
5e0f0a080ca6f091/7,1,3,3093
5e0f0a080ca6f091/7,1,4,3019
5e0f0a080ca6f091/7,1,5,3228
5e0f0a080ca6f091/7,1,6,4274
5e0f0a080ca6f091/7,1,7,3173
5e0f0a080ca6f091/7,1,8,3273
5e0f0a080ca6f091/7,1,9,3021
5e0f0a080ca6f091/7,1,10,3104
5e0f0a080ca6f091/7,1,11,2988
5e0f0a080ca6f091/7,1,12,3025
5e0f0a080ca6f091/7,1,13,3026
5e0f0a080ca6f091/7,1,14,3053
5e0f0a080ca6f091/7,1,15,3216
5e0f0a080ca6f091/7,1,16,3275
5e0f0a080ca6f091/7,1,17,3044
5e0f0a080ca6f091/7,1,18,3264
5e0f0a080ca6f091/7,1,19,3265
5e0f0a080ca6f091/7,1,20,3205
5e0f0a080ca6f091/7,1,21,3143
5e0f0a080ca6f091/7,1,22,3085
5e0f0a080ca6f091/7,1,23,3086
5e0f0a080ca6f091/7,1,24,3087
5e0f0a080ca6f091/7,1,25,3000
5e0f0a080ca6f091/8,1,1,3126
5e0f0a080ca6f091/8,1,2,3099
5e0f0a080ca6f091/8,1,3,3093
5e0f0a080ca6f091/8,1,4,3019
5e0f0a080ca6f091/8,1,5,3228
5e0f0a080ca6f091/8,1,6,4274
5e0f0a080ca6f091/8,1,7,3173
5e0f0a080ca6f091/8,1,8,3273
5e0f0a080ca6f091/8,1,9,3021
5e0f0a080ca6f091/8,1,10,3104
5e0f0a080ca6f091/8,1,11,2988
5e0f0a080ca6f091/8,1,12,3025
5e0f0a080ca6f091/8,1,13,3026
5e0f0a080ca6f091/8,1,14,3053
5e0f0a080ca6f091/8,1,15,3216
5e0f0a080ca6f091/8,1,16,3275
5e0f0a080ca6f091/8,1,17,3044
5e0f0a080ca6f091/8,1,18,3264
5e0f0a080ca6f091/8,1,19,3265
5e0f0a080ca6f091/8,1,20,3205
5e0f0a080ca6f091/8,1,21,3143
5e0f0a080ca6f091/8,1,22,3085
5e0f0a080ca6f091/8,1,23,3086
5e0f0a080ca6f091/8,1,24,3087
5e0f0a080ca6f091/8,1,25,3000
5e0f0a080ca6f091/9,1,1,3126
5e0f0a080ca6f091/9,1,2,3099
5e0f0a080ca6f091/9,1,3,3093
5e0f0a080ca6f091/9,1,4,3019
5e0f0a080ca6f091/9,1,5,3228
5e0f0a080ca6f091/9,1,6,4274
5e0f0a080ca6f091/9,1,7,3173
5e0f0a080ca6f091/9,1,8,3273
5e0f0a080ca6f091/9,1,9,3021
5e0f0a080ca6f091/9,1,10,3104
5e0f0a080ca6f091/9,1,11,2988
5e0f0a080ca6f091/9,1,12,3025
5e0f0a080ca6f091/9,1,13,3026
5e0f0a080ca6f091/9,1,14,3053
5e0f0a080ca6f091/9,1,15,3216
5e0f0a080ca6f091/9,1,16,3264
5e0f0a080ca6f091/9,1,17,3275
5e0f0a080ca6f091/9,1,18,3044
5e0f0a080ca6f091/9,1,19,3265
5e0f0a080ca6f091/9,1,20,3205
5e0f0a080ca6f091/9,1,21,3086
5e0f0a080ca6f091/9,1,22,3087
5e0f0a080ca6f091/9,1,23,3143
5e0f0a080ca6f091/9,1,24,3085
5e0f0a080ca6f091/9,1,25,3000
5e0f0a080ca6f091/10,1,1,3126
5e0f0a080ca6f091/10,1,2,3099
5e0f0a080ca6f091/10,1,3,3093
5e0f0a080ca6f091/10,1,4,3019
5e0f0a080ca6f091/10,1,5,3228
5e0f0a080ca6f091/10,1,6,4274
5e0f0a080ca6f091/10,1,7,3173
5e0f0a080ca6f091/10,1,8,3273
5e0f0a080ca6f091/10,1,9,3021
5e0f0a080ca6f091/10,1,10,3104
5e0f0a080ca6f091/10,1,11,2988
5e0f0a080ca6f091/10,1,12,3025
5e0f0a080ca6f091/10,1,13,3026
5e0f0a080ca6f091/10,1,14,3053
5e0f0a080ca6f091/10,1,15,3216
5e0f0a080ca6f091/10,1,16,3264
5e0f0a080ca6f091/10,1,17,3044
5e0f0a080ca6f091/10,1,18,3275
5e0f0a080ca6f091/10,1,19,3265
5e0f0a080ca6f091/10,1,20,3205
5e0f0a080ca6f091/10,1,21,3086
5e0f0a080ca6f091/10,1,22,3143
5e0f0a080ca6f091/10,1,23,3085
5e0f0a080ca6f091/10,1,24,3087
5e0f0a080ca6f091/10,1,25,3000
5e0f0a080ca6f091/11,1,1,3126
5e0f0a080ca6f091/11,1,2,3099
5e0f0a080ca6f091/11,1,3,3093
5e0f0a080ca6f091/11,1,4,3019
5e0f0a080ca6f091/11,1,5,3228
5e0f0a080ca6f091/11,1,6,4274
5e0f0a080ca6f091/11,1,7,3173
5e0f0a080ca6f091/11,1,8,3273
5e0f0a080ca6f091/11,1,9,3021
5e0f0a080ca6f091/11,1,10,3104
5e0f0a080ca6f091/11,1,11,2988
5e0f0a080ca6f091/11,1,12,3025
5e0f0a080ca6f091/11,1,13,3026
5e0f0a080ca6f091/11,1,14,3053
5e0f0a080ca6f091/11,1,15,3216
5e0f0a080ca6f091/11,1,16,3275
5e0f0a080ca6f091/11,1,17,3044
5e0f0a080ca6f091/11,1,18,3264
5e0f0a080ca6f091/11,1,19,3265
5e0f0a080ca6f091/11,1,20,3205
5e0f0a080ca6f091/11,1,21,3086
5e0f0a080ca6f091/11,1,22,3085
5e0f0a080ca6f091/11,1,23,3087
5e0f0a080ca6f091/11,1,24,3143
5e0f0a080ca6f091/11,1,25,3000
5e0f0a080ca6f091/11,1,26,3274
5e0f0a080ca6f091/12,1,1,3126
5e0f0a080ca6f091/12,1,2,3099
5e0f0a080ca6f091/12,1,3,3093
5e0f0a080ca6f091/12,1,4,3019
5e0f0a080ca6f091/12,1,5,3087
5e0f0a080ca6f091/12,1,6,3228
5e0f0a080ca6f091/12,1,7,4274
5e0f0a080ca6f091/12,1,8,3173
5e0f0a080ca6f091/12,1,9,3273
5e0f0a080ca6f091/12,1,10,3021
5e0f0a080ca6f091/12,1,11,3104
5e0f0a080ca6f091/12,1,12,2988
5e0f0a080ca6f091/12,1,13,3026
5e0f0a080ca6f091/12,1,14,3025
5e0f0a080ca6f091/12,1,15,3053
5e0f0a080ca6f091/12,1,16,3216
5e0f0a080ca6f091/12,1,17,3275
5e0f0a080ca6f091/12,1,18,3264
5e0f0a080ca6f091/12,1,19,3044
5e0f0a080ca6f091/12,1,20,3265
5e0f0a080ca6f091/12,1,21,3205
5e0f0a080ca6f091/12,1,22,3085
5e0f0a080ca6f091/12,1,23,3086
5e0f0a080ca6f091/12,1,24,3143
5e0f0a080ca6f091/12,1,25,3000
5e0f0a080ca6f091/13,1,1,3087
5e0f0a080ca6f091/13,1,2,3085
5e0f0a080ca6f091/13,1,3,3086
5e0f0a080ca6f091/13,1,4,3126
5e0f0a080ca6f091/13,1,5,3099
5e0f0a080ca6f091/13,1,6,3093
5e0f0a080ca6f091/13,1,7,3176
5e0f0a080ca6f091/13,1,8,3088
5e0f0a080ca6f091/13,1,9,3019
5e0f0a080ca6f091/13,1,10,3143
5e0f0a080ca6f091/13,1,11,3228
5e0f0a080ca6f091/13,1,12,4274
5e0f0a080ca6f091/13,1,13,3173
5e0f0a080ca6f091/13,1,14,3273
5e0f0a080ca6f091/13,1,15,3021
5e0f0a080ca6f091/13,1,16,3104
5e0f0a080ca6f091/13,1,17,2988
5e0f0a080ca6f091/13,1,18,3026
5e0f0a080ca6f091/13,1,19,3025
5e0f0a080ca6f091/13,1,20,3053
5e0f0a080ca6f091/13,1,21,3216
5e0f0a080ca6f091/13,1,22,3264
5e0f0a080ca6f091/13,1,23,3044
5e0f0a080ca6f091/13,1,24,3275
5e0f0a080ca6f091/14,1,1,3086
5e0f0a080ca6f091/14,1,2,3143
5e0f0a080ca6f091/14,1,3,3085
5e0f0a080ca6f091/14,1,4,3087
5e0f0a080ca6f091/14,1,5,3126
5e0f0a080ca6f091/14,1,6,3099
5e0f0a080ca6f091/14,1,7,3093
5e0f0a080ca6f091/14,1,8,3176
5e0f0a080ca6f091/14,1,9,3088
5e0f0a080ca6f091/14,1,10,3228
5e0f0a080ca6f091/14,1,11,4274
5e0f0a080ca6f091/14,1,12,3173
5e0f0a080ca6f091/14,1,13,3273
5e0f0a080ca6f091/14,1,14,3104
5e0f0a080ca6f091/14,1,15,2988
5e0f0a080ca6f091/14,1,16,3053
5e0f0a080ca6f091/14,1,17,3216
5e0f0a080ca6f091/14,1,18,3275
5e0f0a080ca6f091/14,1,19,3264
5e0f0a080ca6f091/14,1,20,3044
5e0f0a080ca6f091/14,1,21,3021
5e0f0a080ca6f091/14,1,22,3265
5e0f0a080ca6f091/14,1,23,3026
eca0af9baf8910d7/3,1,1,154
eca0af9baf8910d7/3,1,2,392
eca0af9baf8910d7/3,1,3,301
eca0af9baf8910d7/3,1,4,587
eca0af9baf8910d7/3,1,5,344
eca0af9baf8910d7/3,1,6,1216
eca0af9baf8910d7/3,1,7,171
eca0af9baf8910d7/3,1,8,1437
ce6d3f7e220c5229/1,1,1,2935
ce6d3f7e220c5229/1,1,2,2096
ce6d3f7e220c5229/1,1,3,3073
ce6d3f7e220c5229/1,1,4,833
ce6d3f7e220c5229/1,1,5,358
ce6d3f7e220c5229/1,1,6,2183
ce6d3f7e220c5229/1,1,7,913
ee40d2677693b57e/4,1,1,3051
ee40d2677693b57e/4,1,2,2985
ee40d2677693b57e/4,1,3,3041
ee40d2677693b57e/4,1,4,3014
ee40d2677693b57e/4,1,5,3212
ee40d2677693b57e/4,1,6,3120
ee40d2677693b57e/4,1,7,3005
ee40d2677693b57e/4,1,8,3085
ee40d2677693b57e/4,1,9,3218
ee40d2677693b57e/4,1,10,3046
ee40d2677693b57e/4,1,11,3128
db3718a101da337d/1,1,1,1638
db3718a101da337d/1,1,2,344
db3718a101da337d/1,1,3,1071
db3718a101da337d/1,1,4,1454
db3718a101da337d/1,1,5,3347
db3718a101da337d/1,1,6,2235
db3718a101da337d/1,1,7,665
db3718a101da337d/1,1,8,1364
db3718a101da337d/1,1,9,3348
db3718a101da337d/1,1,10,649
f1c3b42cfb20ae93/1,1,1,3086
f1c3b42cfb20ae93/1,1,2,3087
f1c3b42cfb20ae93/1,1,3,3085
f1c3b42cfb20ae93/1,1,4,3143
f1c3b42cfb20ae93/1,1,5,3088
f1c3b42cfb20ae93/1,1,6,3176
f1c3b42cfb20ae93/1,1,7,3174
f1c3b42cfb20ae93/1,1,8,3148
f1c3b42cfb20ae93/1,1,9,3126
f1c3b42cfb20ae93/1,1,10,3044
f1c3b42cfb20ae93/1,1,11,3163
f1c3b42cfb20ae93/1,1,12,3012
f1c3b42cfb20ae93/1,1,13,3009
f1c3b42cfb20ae93/1,1,14,3017
f1c3b42cfb20ae93/1,1,15,3270
f1c3b42cfb20ae93/1,1,16,3096
f1c3b42cfb20ae93/1,1,17,3141
cc3eaabfd55b2caf/1,1,1,3277
cc3eaabfd55b2caf/1,1,2,3065
cc3eaabfd55b2caf/1,1,3,3103
cc3eaabfd55b2caf/1,1,4,3181
cc3eaabfd55b2caf/1,1,5,3010
cc3eaabfd55b2caf/1,1,6,3152
cc3eaabfd55b2caf/1,1,7,3168
cc3eaabfd55b2caf/1,1,8,3068
cc3eaabfd55b2caf/1,1,9,3155
cc3eaabfd55b2caf/1,1,10,3339
cc3eaabfd55b2caf/1,1,11,3101
cc3eaabfd55b2caf/1,1,12,3066
cc3eaabfd55b2caf/1,1,13,3122
cc3eaabfd55b2caf/1,1,14,3123
cc3eaabfd55b2caf/1,1,15,3286
cc3eaabfd55b2caf/1,1,16,3258
cc3eaabfd55b2caf/1,1,17,3036
f3fd760b3560c517/1,1,1,3014
f3fd760b3560c517/1,1,2,3014
f3fd760b3560c517/1,1,3,3014
